text,pronoun,entity_candidate,event_candidate,event_prob,entity_prob,category
The library hosted a book club meeting. It was a lively discussion.,It,book club meeting,The library hosted a book club meeting,0.1,0.9,Entity Leaning
"His father then asked him to study in medicine , and Daniel agreed under the condition that his father would teach him mathematics privately , which they continued for some time .",which,mathematics,his father would teach him mathematics privately,0.8,0.2,Event Leaning
"The story "" Umoregi "" ( "" In Obscurity "" ) signaled Higuchi 's arrival as a professional writer . It was published in the prestigious journal Miyako no Hana in 1892 , only nine months after she had started writing in earnest .",It,"The story "" Umoregi ""","The story "" Umoregi "" ( "" In Obscurity "" ) signaled Higuchi 's arrival as a professional writer",0.0,1.0,Entity
"If your professor comes into an early morning class holding a mug of liquid , what do you assume she is drinking ?  In the United States , it ’s most likely filled with coffee , not Earl Grey tea , a favorite in England , or Yak Butter tea , a staple in Tibet .",it,mug,If your professor comes into an early morning class holding a mug of liquid,0.1,0.9,Entity Leaning
"Salinity is one of the most important marine parameters , which controls many processes such as physical circulations , biogeochemistry dynamics from regional to global ocean [ 1 , 2 ] .",which,Salinity,Salinity is one of the most important marine parameters,0.0,1.0,Entity
"The smell is simply too intense for rodents and they will not try to go near it .  It also helps to mask the scent of any tasty morsels that have been missed when cleaning . It also gives the house a lovely smell , and is not toxic , unlike many synthetic chemical treatments .",It,smell,The smell is simply too intense,0.2,0.8,Entity Leaning
The politician gave a fiery speech. It swayed many voters.,It,speech,The politician gave a fiery speech,0.2,0.8,Entity Leaning
"Not to mention , The Hill Online newspaper reported in late May that a US competitiveness bill , then being debated on the Senate floor , included ten billion for Bezos 's own space exploration company , Blue Origin .  This was also around the time Bezos had bought MGM for nine billion .",This,US competitiveness bill,"The Hill Online newspaper reported in late May that a US competitiveness bill , then being debated on the Senate floor , included ten billion for Bezos 's own space exploration company , Blue Origin",0.8,0.2,Event Leaning
"The growing presence of American settlers in Texas , their reluctance to abide by Mexican law , and their desire for independence caused the Mexican government to grow wary .  In 1830 , it forbade future U.S. immigration and increased its military presence in Texas .",it,Mexican government,"The growing presence of American settlers in Texas , their reluctance to abide by Mexican law , and their desire for independence caused the Mexican government to grow wary",0.0,1.0,Entity
The festival was fun. It brought joy and excitement to everyone who attended.,It,festival,The festival was fun,0.3,0.7,Entity Leaning
"When ACPeds allows or encourages the impression that it speaks for the profession , it introduces an epistemic pollutant .",it,ACPeds,When ACPeds allows or encourages the impression that it speaks for the profession,0.5,0.5,Ambiguous
"Do not feel disappointed if you did not lose weight , it ’s not the only goal .",it,weight,you did not lose weight,0.8,0.2,Event Leaning
"With Bush , the aggressive militarism of the Bush administration , as predicted , induced Russia to extend further its offensive military capacity ; it ’s still going on right now .",it,military capacity,induced Russia to extend further its offensive military capacity,0.8,0.2,Event Leaning
The wind howled through the trees. It kept me awake all night.,It,wind,The wind howled through the trees,0.5,0.5,Ambiguous
"Ambiguity frightens arrogant people because it suggests imperfection , change and lack of certainty ( realities we all must contend with as best we can ) .",it,Ambiguity,Ambiguity frightens arrogant people,0.1,0.9,Entity Leaning
The gardener planted beautiful roses. It enhanced the beauty of the garden.,It,roses,The gardener planted beautiful roses,0.9,0.1,Event Leaning
The company launched a new product line. It was met with positive reviews.,It,product line,The company launched a new product line,0.1,0.9,Entity Leaning
The family celebrated a milestone anniversary. It was a joyous occasion.,It,anniversary,The family celebrated a milestone anniversary,0.4,0.6,Ambiguous
"Unlike major cities in the Northeast , the city bus is not a major form of transportation in the city .  It is usually a means of travel for those who are without their own motor vehicle .",It,city bus,the city bus is not a major form of transportation in the city,0.0,1.0,Entity
"By the 7th century BC , social unrest had become widespread , and the Areopagus appointed Draco to draft a strict new law code ( hence "" draconian "" ) .  When this failed , they appointed Solon , with a mandate to create a new constitution ( 594 ) .",this,law code,"the Areopagus appointed Draco to draft a strict new law code ( hence "" draconian "" )",0.5,0.5,Ambiguous
The town experienced a power outage. It disrupted daily routines.,It,power outage,The town experienced a power outage,0.0,1.0,Entity
Think of the setup as the foundation of a story . It ’s a fundamental part of the joke ;,It,setup,Think of the setup as the foundation of a story,0.0,1.0,Entity
The artist painted a beautiful portrait. It impressed all who saw it.,It,portrait,The artist painted a beautiful portrait,0.3,0.7,Entity Leaning
The square is the largest historical public square in the world after Tiananmen Square in Beijing and it is a UNESCO World Heritage Site .,it,square,The square is the largest historical public square in the world after Tiananmen Square in Beijing,0.0,1.0,Entity
He tripped on the stairs and fell. It hurt his back.,It,stairs,He tripped on the stairs and fell,1.0,0.0,Event
The city was hosting a festival. It attracted thousands of visitors.,It,festival,The city was hosting a festival,0.2,0.8,Entity Leaning
